BSSID,Network Name,Beacon Interval (ms),Device Name,Vendor,Annotations,Signal (%),Signal Avg (%),Signal Min (%),Signal Max (%),Noise (%),Noise Avg (%),Noise Min (%),Noise Max (%),SNR (dB),SNR Avg (dB),SNR Min (dB),SNR Max (dB),Channel,Center Frequency (MHz),Wide Channel,Width,Band,Streams,Stations,Channel Utilization (%),Mode,Protection Mode,Fast Transition,Country Code,Basic Rates (Mbps),Min Rate (Mbps),Max Rate (Mbps),Security,WPS,Type,First Seen,Last Seen,Seen
F0:D1:A9:12:D0:68,Txinteract,102.4,AirPort Express,Apple Inc.,,81,81,78,84,13,15,1,20,40,39,34,45,1,2412,1,20 MHz,2.4 GHz,2,,,b/g/n,Non Member,,CA,"1, 2, 5.5, 11",1,144.4,WPA2 (PSK),,Infrastructure,2018/01/02 04:44:06 AM,2018/01/02 05:57:56 AM,
18:D6:C7:E8:51:79,Yasssss,102.4,,TP-Link Technologies Co. Ltd.,,58,58,28,69,15,15,1,20,22,21,7,32,1,2412,1,20 MHz,2.4 GHz,3,,,b/g/n,None,,,"1, 2, 5.5, 11",1,216.7,WPA/WPA2 (PSK),Configured,Infrastructure,2018/01/02 04:44:06 AM,2018/01/02 05:57:21 AM,
AC:20:2E:0F:F6:68,PJ’s WiFi,512.0,,Hitron Technologies Inc.,,38,40,32,67,13,15,1,20,12,11,7,28,6,2437,6,20 MHz,2.4 GHz,3,,,b/g/n,None,,US,"1, 2, 5.5, 6, 11, 12, 24",1,216.7,WPA/WPA2 (PSK),Locked,Infrastructure,2018/01/02 04:44:06 AM,2018/01/02 05:57:56 AM,
18:1E:78:05:CC:E6,BELL354,102.4,,Sagemcom Broadband SAS,,48,51,30,71,13,15,1,20,17,17,6,30,6,2437,8,40 MHz,2.4 GHz,3,,,b/g/n,20 MHz,,CA,"1, 2, 5.5, 11",1,450,WPA2 (PSK),Configured,Infrastructure,2018/01/02 04:44:06 AM,2018/01/02 05:57:56 AM,
18:D6:C7:E8:51:78,Yasssss5,102.4,,TP-Link Technologies Co. Ltd.,,53,53,48,56,13,15,1,20,20,18,15,25,149,5745,155,80 MHz,5 GHz,3,,,ac,20 MHz,,US,"6, 12, 24",6,1300,WPA/WPA2 (PSK),Configured,Infrastructure,2018/01/02 04:44:06 AM,2018/01/02 05:57:56 AM,
0C:47:3D:C3:4A:18,Ferrari,102.4,,Hitron Technologies Inc.,,32,40,28,50,13,15,1,20,9,11,6,20,11,2462,11,20 MHz,2.4 GHz,3,2,16,b/g/n,20 MHz,,US,"1, 2, 5.5, 11",1,216.7,WPA/WPA2 (PSK),Configured,Infrastructure,2018/01/02 04:44:06 AM,2018/01/02 05:57:56 AM,
0E:47:3D:C3:4A:18,Rogers05550-5G,102.4,,Hitron Technologies Inc.,,28,32,24,40,13,15,1,20,7,8,3,16,36,5180,38,40 MHz,5 GHz,3,0,0,a/n,None,,US,"6, 12, 24",6,450,WPA/WPA2 (PSK),Configured,Infrastructure,2018/01/02 04:44:06 AM,2018/01/02 05:57:56 AM,
68:B6:FC:C7:AA:78,RogersB1173,102.4,,Hitron Technologies Inc.,,38,38,32,42,17,17,6,20,10,10,7,15,11,2462,11,20 MHz,2.4 GHz,2,3,12,b/g/n,20 MHz,,US,"1, 2, 5.5, 11",1,144.4,WPA/WPA2 (PSK),Configured,Infrastructure,2018/01/02 04:44:06 AM,2018/01/02 05:57:56 AM,
FA:8F:CA:95:E6:1E,Den TV.b,102.4,,"Google, Inc.",,67,71,51,79,13,15,1,20,29,30,18,39,6,2437,6,20 MHz,2.4 GHz,1,,,b/g/n,Non Member,,,"1, 2, 5.5, 11",1,72.2,,,Infrastructure,2018/01/02 04:44:06 AM,2018/01/02 05:57:56 AM,
84:A4:23:90:98:DE,LlamaLlama!,102.4,,Sagemcom Broadband SAS,,73,73,42,76,13,15,1,20,33,31,13,38,6,2437,6,20 MHz,2.4 GHz,3,,,b/g/n,Non Member,,CA,"1, 2, 5.5, 11",1,216.7,WPA2 (PSK),Configured,Infrastructure,2018/01/02 04:44:06 AM,2018/01/02 05:57:56 AM,
F0:D1:A9:12:D0:69,Txinteract,102.4,AirPort Express,Apple Inc.,,63,64,56,67,13,15,1,20,26,25,21,32,52,5260,54,40 MHz,5 GHz,2,,,a/n,None,,CA,"6, 12, 24",6,300,WPA2 (PSK),,Infrastructure,2018/01/02 04:44:06 AM,2018/01/02 05:57:56 AM,
78:54:2E:F0:5F:A0,MJ,102.4,,D-Link International,,32,34,28,38,15,15,1,20,8,8,4,15,1,2412,1,20 MHz,2.4 GHz,2,,,b/g/n,None,,,"1, 2, 5.5, 11",1,144.4,WPA/WPA2 (PSK),Configured,Infrastructure,2018/01/02 04:44:22 AM,2018/01/02 05:57:56 AM,
54:64:D9:F1:79:69,BELL642,102.4,,Sagemcom Broadband SAS,,30,32,30,32,15,15,15,15,7,7,7,8,11,2462,11,20 MHz,2.4 GHz,3,,,b/g/n,None,,CA,"1, 2, 5.5, 11",1,216.7,WPA2 (PSK),Configured,Infrastructure,2018/01/02 05:07:20 AM,2018/01/02 05:16:03 AM,
